"Timestamp","Favorite Ice Cream Flavors [First Choice]","Favorite Ice Cream Flavors [Second Choice]","Favorite Ice Cream Flavors [Third Choice]","Favorite Ice Cream Flavors [Fourth Choice]","Favorite Ice Cream Flavors [Fifth Choice]","Favorite Ice Cream Flavors [Sixth Choice]","Favorite Ice Cream Flavors [Seventh Choice]","Favorite Ice Cream Flavors [Eighth Choice]","Favorite Ice Cream Flavors [Ninth Choice]"
"2020/01/31 8:23:39 PM EST","Cookie Dough","Chocolate Peanut Butter","Vanilla","Strawberry","Chocolate","Mint Chocolate Chip","Pistachio","Rum Raisin","Moose Tracks"
"2020/01/31 8:25:39 PM EST","Cookie Dough","Cookies and Cream","Chocolate Peanut Butter","Pistachio","Mint Chocolate Chip","Chocolate","Rum Raisin","Vanilla","Strawberry"
"2020/01/31 8:25:43 PM EST","Mint Chocolate Chip","Chocolate","Vanilla","Strawberry","Cookie Dough","","Pistachio","Chocolate Peanut Butter","Rum Raisin"
"2020/01/31 8:28:23 PM EST","Chocolate","Moose Tracks","Chocolate Peanut Butter","Cookies and Cream","Cookie Dough","Mint Chocolate Chip","Vanilla","Strawberry",""
"2020/01/31 8:29:17 PM EST","Mint Chocolate Chip","Cookies and Cream","Chocolate Peanut Butter","Moose Tracks","Chocolate","Vanilla","Strawberry","Cookie Dough","Rum Raisin"
"2020/01/31 8:31:52 PM EST","Cookie Dough","Mint Chocolate Chip","Vanilla","","","","","",""
"2020/01/31 8:32:47 PM EST","Cookie Dough","Mint Chocolate Chip","Pistachio","Vanilla","Chocolate Peanut Butter","Strawberry","Chocolate","Rum Raisin",""
"2020/01/31 8:33:21 PM EST","Vanilla","Cookies and Cream","Cookie Dough","Strawberry","","","","","Chocolate"
"2020/01/31 8:34:43 PM EST","Cookie Dough","Cookies and Cream","Moose Tracks","Mint Chocolate Chip","Vanilla","Chocolate","Pistachio","Strawberry","Rum Raisin"
"2020/01/31 8:36:18 PM EST","Pistachio","Chocolate Peanut Butter","Cookie Dough","Vanilla","Chocolate","Cookies and Cream","","",""
"2020/01/31 8:37:02 PM EST","","","","","","","","",""
"2020/01/31 8:37:24 PM EST","Chocolate Peanut Butter","Cookie Dough","Chocolate","Vanilla","Strawberry","Mint Chocolate Chip","","Rum Raisin","Pistachio"
"2020/01/31 8:39:33 PM EST","Chocolate","Cookie Dough","","","","","","",""
"2020/01/31 8:42:39 PM EST","Vanilla","Chocolate","Cookie Dough","Mint Chocolate Chip","Strawberry","Pistachio","Chocolate Peanut Butter","Rum Raisin","Moose Tracks"
"2020/01/31 8:47:36 PM EST","Mint Chocolate Chip","Strawberry","Chocolate","Cookies and Cream","","","","",""
"2020/01/31 8:48:09 PM EST","Moose Tracks","Cookies and Cream","Cookie Dough","Vanilla","Chocolate","Chocolate Peanut Butter","Strawberry","Pistachio","Rum Raisin"
"2020/01/31 8:50:36 PM EST","Vanilla","Chocolate","Cookie Dough","Chocolate Peanut Butter","","","","",""
"2020/01/31 8:51:01 PM EST","Mint Chocolate Chip","","","","","","","",""
"2020/01/31 8:54:28 PM EST","Chocolate","Mint Chocolate Chip","Chocolate Peanut Butter","Cookie Dough","Strawberry","Vanilla","Pistachio","",""
"2020/01/31 8:57:03 PM EST","Pistachio","Vanilla","Strawberry","","","","","",""
"2020/01/31 8:57:41 PM EST","Cookie Dough","Cookies and Cream","Chocolate Peanut Butter","Mint Chocolate Chip","Pistachio","Moose Tracks","Strawberry","Vanilla","Chocolate"
"2020/01/31 9:01:41 PM EST","Vanilla","Chocolate","Strawberry","Mint Chocolate Chip","Pistachio","Cookies and Cream","Chocolate Peanut Butter","Rum Raisin","Cookie Dough"
"2020/01/31 9:05:03 PM EST","Mint Chocolate Chip","Chocolate Peanut Butter","Chocolate","Pistachio","Strawberry","Vanilla","Rum Raisin","Cookie Dough",""
"2020/01/31 9:09:04 PM EST","Cookie Dough","Cookies and Cream","Chocolate Peanut Butter","Moose Tracks","Chocolate","Strawberry","Pistachio","Vanilla","Mint Chocolate Chip"
"2020/01/31 9:12:27 PM EST","Chocolate","Mint Chocolate Chip","Vanilla","Strawberry","Pistachio","Rum Raisin","Chocolate Peanut Butter","Cookies and Cream","Moose Tracks"
"2020/01/31 9:14:23 PM EST","Cookie Dough","Vanilla","Mint Chocolate Chip","Moose Tracks","","","","",""
"2020/01/31 9:17:02 PM EST","Cookies and Cream","Mint Chocolate Chip","Chocolate Peanut Butter","Cookie Dough","Vanilla","Strawberry","Chocolate","Moose Tracks","Pistachio"
"2020/01/31 9:30:57 PM EST","Strawberry","Vanilla","Cookie Dough","Cookies and Cream","Mint Chocolate Chip","Chocolate Peanut Butter","Chocolate","Pistachio","Rum Raisin"
"2020/01/31 9:35:26 PM EST","Chocolate Peanut Butter","Chocolate","Moose Tracks","Cookie Dough","Strawberry","Mint Chocolate Chip","Vanilla","Pistachio","Rum Raisin"
"2020/01/31 9:40:52 PM EST","Vanilla","Chocolate","Strawberry","Cookies and Cream","Pistachio","Moose Tracks","Mint Chocolate Chip","Chocolate Peanut Butter","Cookie Dough"
"2020/01/31 9:51:52 PM EST","Chocolate Peanut Butter","Chocolate","Moose Tracks","Pistachio","Mint Chocolate Chip","Cookie Dough","Vanilla","Strawberry","Rum Raisin"
"2020/01/31 9:54:48 PM EST","Mint Chocolate Chip","Cookie Dough","Chocolate","Chocolate Peanut Butter","Cookies and Cream","Moose Tracks","Vanilla","Strawberry","Rum Raisin"
