"Timestamp","Favorite Programming Languages [First Choice]","Favorite Programming Languages [Second Choice]","Favorite Programming Languages [Third Choice]","Favorite Programming Languages [Fourth Choice]","Favorite Programming Languages [Fifth Choice]","Favorite Programming Languages [Sixth Choice]","Favorite Programming Languages [Seventh Choice]","Favorite Programming Languages [Eighth Choice]","Favorite Programming Languages [Ninth Choice]","","","","","","","","","","","",""
"2020/01/31 8:23:06 PM EST","Java","Python 3","C++","HTML","","","","","","","","","","","","","","","","",""
"2020/01/31 8:26:56 PM EST","Java","Python 3","Python 2.7","C++","C","C#","Objective C","HTML","JavaScript","Visual Basic","CoffeeScript","Swift","MatLab","Assembly","","","","","","",""
"2020/01/31 8:29:38 PM EST","Java","Python 2.7","Python 3","C++","","","","","","","","","","","","","","","","",""
"2020/01/31 8:30:30 PM EST","Java","Python 3","Python 2.7","HTML","C++","C","C#","Objective C","Swift","Assembly","Bash","JavaScript","PHP","R","MatLab","CoffeeScript","Go","Ruby","Perl","Visual Basic","Lisp"
"2020/01/31 8:31:44 PM EST","Java","Python 3","Python 2.7","HTML","JavaScript","C","Swift","","","","","","","","","","","","","",""
"2020/01/31 8:34:51 PM EST","Java","Python 3","","","","","","","","","","","","","","","","","","",""
"2020/01/31 8:36:32 PM EST","Go","C++","C#","C","","","","Java","","","","","","","","","","","","",""
"2020/01/31 8:38:20 PM EST","Python 3","HTML","","","","","","","","","","","","","","","","","","",""
"2020/01/31 8:40:01 PM EST","Java","R","","","","","","","","","","","","","","","","","","",""
"2020/01/31 8:43:20 PM EST","Java","C++","Python 3","Python 2.7","HTML","MatLab","Swift","Visual Basic","JavaScript","CoffeeScript","PHP","R","Ruby","Rust","","Objective C","Perl","Lisp","C#","Go","Assembly"
"2020/01/31 8:43:31 PM EST","Python 3","Python 2.7","HTML","Visual Basic","JavaScript","Perl","R","Java","","","","","","","","","","","","",""
"2020/01/31 8:49:26 PM EST","Java","","","","","","","","","","","","","","","","","","","",""
"2020/01/31 8:49:48 PM EST","Python 3","C","Java","JavaScript","HTML","R","","","","","","","","","","","","","","",""
"2020/01/31 8:52:17 PM EST","Python 3","Java","C","Assembly","HTML","Swift","JavaScript","Visual Basic","","","","","","","","","","","","",""
"2020/01/31 8:52:59 PM EST","Java","Python 2.7","Python 3","R","Objective C","C#","C++","","","","","","","","","","","","","",""
"2020/01/31 8:55:47 PM EST","Python 3","Java","HTML","MatLab","","","","","","","","","","","","","","","","",""
"2020/01/31 9:00:27 PM EST","Python 3","","","JavaScript","MatLab","Java","","","","","","","","","","","","","","",""
"2020/01/31 9:02:37 PM EST","Python 2.7","MatLab","Java","C++","Assembly","JavaScript","Swift","Python 3","HTML","","","","","","","","","","","",""
"2020/01/31 9:03:28 PM EST","Python 3","JavaScript","HTML","Java","C","","","","","","","","","","","","","","","",""
"2020/01/31 9:06:13 PM EST","HTML","Python 2.7","JavaScript","MatLab","C","C++","Java","Swift","Assembly","","","","","","","","","","","",""
"2020/01/31 9:10:13 PM EST","JavaScript","Python 3","Java","C","Swift","Assembly","C++","HTML","MatLab","","","","","","","","","","","",""
"2020/01/31 9:14:04 PM EST","Python 3","Python 2.7","Java","C","HTML","JavaScript","Assembly","","","","","","","","","","","","","",""
"2020/01/31 9:16:21 PM EST","JavaScript","Java","Python 3","MatLab","","","","","","","","","","","","","","","","",""
"2020/01/31 9:17:50 PM EST","HTML","C","MatLab","Python 2.7","","","","","","","","","","","","","","","","",""
"2020/01/31 9:32:17 PM EST","Python 3","Java","C++","HTML","Assembly","JavaScript","Swift","MatLab","Python 2.7","","","","","","","","","","","",""
"2020/01/31 9:36:48 PM EST","Java","Python 3","Python 2.7","HTML","MatLab","Swift","C","Assembly","JavaScript","","","","","","","","","","","",""
"2020/01/31 9:41:39 PM EST","Python 3","Python 2.7","JavaScript","HTML","C","MatLab","Java","Swift","Assembly","","","","","","","","","","","",""
"2020/01/31 9:52:33 PM EST","HTML","Python 2.7","Python 3","C","C++","MatLab","Assembly","JavaScript","Java","","","","","","","","","","","",""
"2020/01/31 9:56:27 PM EST","Assembly","Java","Python 3","C","Python 2.7","C++","JavaScript","HTML","Swift","","","","","","","","","","","",""
"2020/01/31 10:19:59 PM EST","C++","C","Java","MatLab","HTML","JavaScript","","","","","","","","","","","","","","",""
